Millis,Sensor,X,Y,Z
424224,A,1.000122,-0.071289,-0.041138
424230,G,2.136230,-0.488281,0.122070
424235,A,1.000366,-0.074219,-0.001831
424240,M,-10.327148,37.231445,-25.964355
424244,G,1.525879,-0.122070,0.183105
424249,A,0.994263,-0.075439,-0.019897
424254,G,2.014160,-0.488281,0.305176
424259,A,0.993286,-0.079834,-0.029663
424264,G,1.953125,-0.366211,0.183105
424269,A,0.996826,-0.072754,-0.024902
424274,G,1.953125,-0.244141,0.122070
424279,A,0.993530,-0.080933,-0.020142
424284,G,1.708984,-0.305176,0.183105
424289,A,0.995483,-0.073364,-0.009521
424294,M,-9.265137,35.693359,-27.648926
424298,G,1.525879,-0.366211,0.183105
424303,A,0.995361,-0.070435,-0.025391
424308,G,2.136230,-0.610352,0.244141
424313,A,0.999023,-0.072998,-0.008789
424318,G,1.525879,-0.244141,0.244141
424323,A,0.998413,-0.077515,-0.000732
424328,G,1.770020,-0.244141,0.244141
424333,A,0.998291,-0.077515,-0.030518
424338,M,-10.339355,37.341309,-26.330566
424342,G,1.647949,-0.366211,0.183105
424347,A,0.997803,-0.074219,-0.025024
424352,G,1.831055,-0.305176,0.000000
424357,A,0.999390,-0.071289,-0.021729
424362,G,1.647949,-0.183105,0.183105
424367,A,0.994385,-0.075195,-0.012451
424372,G,2.014160,-0.488281,0.122070
424377,A,0.992432,-0.082153,-0.021851
424382,G,1.403809,-0.366211,0.183105
424387,A,0.997070,-0.073364,-0.032349
424392,M,-8.654785,36.401367,-27.893066
424396,G,1.586914,-0.427246,0.183105
424401,A,0.998047,-0.070679,-0.032227
424406,G,1.708984,-0.305176,0.183105
424411,A,0.999023,-0.070801,0.001953
424416,G,2.075195,-0.549316,0.244141
424421,A,0.995850,-0.076660,-0.026855
424426,G,2.136230,-0.549316,0.183105
424431,A,0.999268,-0.072754,-0.006592
424436,G,1.464844,-0.366211,0.122070
424441,A,0.996216,-0.077271,-0.020630
424446,M,-9.924316,37.756348,-26.306152
424450,G,2.014160,-0.610352,0.122070
424455,A,0.997925,-0.080078,-0.041992
424460,G,1.708984,-0.244141,0.244141
424465,A,0.996582,-0.075439,-0.021118
424470,G,2.075195,-0.427246,0.183105
424475,A,0.996216,-0.070923,-0.024536
424480,G,1.464844,-0.305176,0.244141
424485,A,0.992432,-0.074097,-0.004761
424490,M,-9.008789,36.462402,-28.601074
424494,G,1.525879,-0.427246,0.244141
424499,A,0.993286,-0.079956,-0.011230
424504,G,1.892090,-0.549316,0.183105
424509,A,1.000122,-0.071655,-0.000244
424514,G,1.892090,-0.549316,0.122070
424519,A,1.000122,-0.074341,-0.009766
424524,G,1.647949,-0.549316,0.244141
424529,A,1.000854,-0.068604,-0.010254
424534,G,2.014160,-0.427246,0.061035
424539,A,0.996460,-0.076172,-0.001099
424544,M,-9.680176,37.707520,-27.038574
424548,G,2.014160,-0.427246,0.122070
424553,A,0.995728,-0.074219,-0.009033
424558,G,1.464844,-0.244141,0.244141
424563,A,0.998779,-0.075806,-0.017456
424568,G,1.892090,-0.305176,0.305176
424573,A,0.995728,-0.075928,-0.036133
424579,G,1.953125,-0.366211,0.183105
424584,A,0.994019,-0.072021,-0.031982
424589,G,1.892090,-0.488281,0.366211
424594,A,0.995239,-0.069946,-0.012085
424599,M,-9.167480,36.340332,-27.172852
424603,G,1.525879,-0.366211,0.244141
424608,A,0.994629,-0.070679,-0.011353
424613,G,2.014160,-0.488281,0.122070
424618,A,0.997314,-0.079346,-0.010864
424623,G,2.014160,-0.549316,0.183105
424628,A,1.000366,-0.073120,-0.023437
424633,G,1.831055,-0.488281,0.122070
424638,A,1.000122,-0.076660,-0.012573
424643,M,-9.155273,37.878418,-26.611328
424647,G,1.708984,-0.366211,0.183105
424652,A,1.001099,-0.072510,-0.001587
424657,G,1.586914,-0.305176,0.244141
