Millis,Sensor,X,Y,Z
958845,G,1.525879,-0.427246,0.122070
958850,A,0.998047,-0.075806,-0.017822
958855,G,2.075195,-0.488281,0.183105
958860,A,0.997559,-0.074951,-0.026367
958865,G,1.953125,-0.549316,0.244141
958870,A,0.996582,-0.073853,-0.040283
958875,M,-9.533691,37.719727,-25.439453
958879,G,1.892090,-0.488281,0.122070
958884,A,0.992065,-0.069336,-0.030396
958889,G,1.403809,-0.549316,0.305176
958894,A,1.000000,-0.078857,0.012939
958899,G,2.075195,-0.610352,0.244141
958904,A,0.998169,-0.076782,0.000122
958909,G,1.281738,-0.732422,0.122070
958914,A,0.999512,-0.068970,-0.030151
958919,G,1.586914,-0.427246,0.122070
958924,A,0.999268,-0.075684,-0.000610
958929,M,-9.838867,37.133789,-25.402832
958933,G,1.525879,-0.549316,0.000000
958938,A,0.991821,-0.069092,-0.004272
958943,G,2.136230,-0.427246,0.061035
958948,A,0.995117,-0.075684,0.010132
958953,G,1.708984,-0.610352,0.183105
958958,A,0.999268,-0.075195,-0.048584
958963,G,1.953125,-0.488281,0.244141
958968,A,0.997803,-0.073853,-0.030884
958973,M,-12.048340,38.537598,-25.585937
958977,G,1.831055,-0.488281,0.122070
958982,A,0.996582,-0.074219,-0.018433
958987,G,1.586914,-0.549316,0.122070
958992,A,0.995239,-0.073975,-0.022095
958997,G,1.647949,-0.488281,0.244141
959002,A,0.994019,-0.068726,-0.043701
959007,G,1.708984,-0.366211,0.000000
959012,A,0.995728,-0.070801,0.009644
959017,G,2.075195,-0.427246,0.122070
959022,A,0.994507,-0.078125,-0.032837
959027,M,-12.768555,35.900879,-30.566406
959031,G,1.892090,-0.427246,0.244141
959036,A,0.996826,-0.073242,-0.008911
959041,G,1.892090,-0.427246,0.244141
959046,A,0.994019,-0.075195,-0.037231
959051,G,1.525879,-0.427246,0.183105
959056,A,0.997070,-0.074097,-0.025146
959061,G,2.075195,-0.366211,0.122070
959066,A,0.993408,-0.067871,0.009888
959071,G,1.770020,-0.610352,0.244141
959076,A,0.996826,-0.073120,-0.046021
959081,M,-10.925293,37.573242,-28.479004
959085,G,1.525879,-0.366211,0.061035
959090,A,0.999023,-0.075806,-0.029907
959095,G,2.014160,-0.427246,0.183105
959100,A,0.993896,-0.071533,0.000000
959105,G,2.319336,-0.427246,0.183105
959110,A,0.994141,-0.072632,-0.018311
959115,G,1.770020,-0.610352,0.183105
959120,A,0.995972,-0.073242,-0.014160
959125,M,-10.388184,35.510254,-29.895020
959129,G,1.647949,-0.427246,0.183105
959134,A,0.998901,-0.076538,0.025024
959139,G,1.586914,-0.488281,0.122070
959144,A,0.997192,-0.073486,-0.022095
959149,G,1.770020,-0.549316,0.122070
959154,A,0.998413,-0.070923,-0.016235
959159,G,1.647949,-0.549316,0.122070
959164,A,0.997192,-0.073975,-0.007446
959169,G,1.708984,-0.427246,0.244141
959174,A,0.995361,-0.073608,-0.020508
959179,M,-8.081055,37.658691,-26.831055
959183,G,2.014160,-0.488281,0.183105
959188,A,0.996582,-0.078125,-0.011108
959193,G,1.708984,-0.427246,0.122070
959198,A,0.998413,-0.074341,-0.048096
959203,G,1.892090,-0.366211,0.244141
959208,A,0.998413,-0.075684,-0.022217
959213,G,1.892090,-0.488281,0.183105
959218,A,0.998657,-0.076050,-0.017944
959223,G,1.831055,-0.366211,0.183105
959228,A,0.993774,-0.071899,-0.022461
959234,M,-8.679199,35.571289,-28.027344
959238,G,1.708984,-0.305176,0.183105
959243,A,0.994629,-0.072388,-0.025269
959248,G,1.586914,-0.366211,0.244141
959253,A,0.992920,-0.074219,0.008301
959258,G,1.953125,-0.488281,0.183105
959263,A,0.995483,-0.077026,-0.041870
959268,G,1.770020,-0.366211,0.244141
959273,A,0.997925,-0.078003,-0.009277
959278,M,-8.264160,37.536621,-24.853516
959282,G,1.892090,-0.427246,0.305176
959287,A,0.995483,-0.076538,-0.008179
959292,G,1.708984,-0.427246,0.183105
959297,A,0.994019,-0.072632,0.005615
959302,G,1.953125,-0.366211,0.183105
959307,A,0.995239,-0.075806,0.002808
959312,G,1.525879,-0.366211,0.183105
959317,A,0.995728,-0.077271,-0.064941
959322,G,1.892090,-0.427246,0.305176
959327,A,0.998901,-0.074097,0.002563
959332,M,-9.704590,36.413574,-26.928711
959336,G,1.403809,-0.427246,0.183105
959341,A,0.993530,-0.071777,-0.037842
959346,G,1.953125,-0.488281,0.183105
959351,A,0.995239,-0.071777,-0.025757
959356,G,1.403809,-0.671387,0.183105
959361,A,0.997070,-0.073975,-0.013550
959366,G,1.647949,-0.488281,0.000000
959371,A,0.996826,-0.078003,0.017456
959376,M,-8.679199,37.585449,-26.867676
959380,G,1.708984,-0.610352,0.244141
959385,A,0.999146,-0.076294,-0.052490
959390,G,1.525879,-0.549316,0.305176
959395,A,0.995117,-0.074951,-0.006226
959400,G,2.258301,-0.305176,0.244141
959405,A,0.992798,-0.070679,-0.014526
959410,G,1.525879,-0.610352,0.183105
959415,A,0.994141,-0.072632,0.011963
959420,G,1.464844,-0.488281,0.244141
959425,A,0.999023,-0.074829,-0.028564
959430,M,-10.156250,35.937500,-28.491211
959434,G,1.708984,-0.244141,0.061035
959439,A,0.995239,-0.075928,-0.048218
959444,G,1.953125,-0.427246,0.122070
959449,A,0.998779,-0.074341,0.013550
959454,G,1.831055,-0.366211,0.183105
959459,A,0.996460,-0.073364,-0.015259
959464,G,1.831055,-0.427246,0.244141
959469,A,0.995117,-0.072144,-0.035278
959474,G,1.708984,-0.610352,0.061035
959479,A,0.998047,-0.072144,0.019653
959484,M,-8.349609,36.938477,-26.953125
959488,G,1.525879,-0.610352,0.122070
959493,A,0.994751,-0.077148,-0.007202
959498,G,1.647949,-0.610352,0.244141
959503,A,0.999512,-0.073364,-0.024658
959508,G,1.770020,-0.488281,0.183105
959513,A,0.996460,-0.073853,-0.008301
959518,G,1.831055,-0.488281,0.122070
959523,A,0.993042,-0.070923,-0.021729
959528,M,-9.826660,34.936523,-27.001953
959532,G,1.770020,-0.488281,0.122070
959537,A,0.997437,-0.072510,-0.012451
959542,G,1.770020,-0.305176,0.183105
959547,A,0.992798,-0.073730,-0.000122
959552,G,1.831055,-0.366211,0.244141
959557,A,0.996948,-0.075928,-0.044678
