Millis,Sensor,X,Y,Z
788309,A,0.996826,-0.073975,-0.016724
788316,G,1.770020,-0.305176,0.061035
788321,A,0.996338,-0.073608,-0.019409
788326,G,1.770020,-0.366211,0.122070
788331,A,0.997437,-0.075928,-0.020630
788336,G,1.770020,-0.366211,0.122070
788341,A,0.995483,-0.074219,-0.017822
788346,M,-11.035156,38.000488,-27.197266
788350,G,1.647949,-0.183105,0.244141
788355,A,0.997314,-0.073608,-0.020874
788360,G,1.770020,-0.366211,0.183105
788365,A,0.996460,-0.074219,-0.017456
788370,G,1.892090,-0.305176,0.244141
788375,A,0.997559,-0.074585,-0.014038
788380,G,1.953125,-0.427246,0.183105
788385,A,0.996460,-0.074341,-0.021240
788390,M,-10.925293,37.573242,-26.586914
788394,G,1.953125,-0.366211,0.183105
788399,A,0.996094,-0.074097,-0.014771
788404,G,1.892090,-0.427246,0.183105
788409,A,0.996460,-0.074463,-0.020630
788414,G,1.953125,-0.305176,0.305176
788419,A,0.997070,-0.074585,-0.014404
788424,G,1.831055,-0.366211,0.244141
788429,A,0.995483,-0.074219,-0.020752
788434,G,1.892090,-0.488281,0.122070
788439,A,0.996948,-0.074219,-0.016113
788444,M,-11.096191,38.232422,-25.659180
788448,G,1.464844,-0.305176,0.183105
788453,A,0.995972,-0.074341,-0.016968
788458,G,1.525879,-0.122070,0.122070
788463,A,0.996216,-0.074341,-0.018799
788468,G,1.586914,-0.244141,0.122070
788473,A,0.996826,-0.073853,-0.017578
788478,G,1.708984,-0.488281,0.183105
788483,A,0.998047,-0.073975,-0.018066
788488,G,1.647949,-0.305176,0.305176
788493,A,0.996460,-0.074707,-0.020996
788498,M,-10.510254,37.670898,-25.878906
788502,G,1.586914,-0.305176,0.244141
788507,A,0.996948,-0.074463,-0.018799
788512,G,1.770020,-0.427246,0.183105
788517,A,0.994873,-0.074829,-0.015381
788522,G,1.708984,-0.427246,0.305176
788527,A,0.996338,-0.074463,-0.020264
788532,G,1.708984,-0.488281,0.305176
788537,A,0.997192,-0.074219,-0.019653
788542,M,-10.522461,38.208008,-26.159668
788546,G,1.770020,-0.427246,-0.061035
788551,A,0.995361,-0.074829,-0.017700
788556,G,1.831055,-0.366211,0.061035
788561,A,0.996094,-0.074585,-0.016479
788566,G,1.770020,-0.427246,0.061035
788571,A,0.996460,-0.073853,-0.020508
788576,G,1.708984,-0.427246,0.122070
788581,A,0.996094,-0.073730,-0.016357
788586,G,1.770020,-0.488281,0.061035
788591,A,0.997559,-0.074097,-0.019897
788596,M,-10.974121,37.939453,-26.989746
788600,G,1.770020,-0.366211,0.122070
788605,A,0.996704,-0.074341,-0.018433
788610,G,1.708984,-0.305176,0.244141
788615,A,0.996948,-0.074341,-0.017700
788620,G,1.892090,-0.366211,0.305176
788625,A,0.996216,-0.073608,-0.018066
788630,G,1.892090,-0.488281,0.244141
788635,A,0.996826,-0.074219,-0.017822
788640,G,1.770020,-0.488281,0.305176
788645,A,0.998779,-0.073730,-0.019043
788650,M,-10.827637,38.293457,-25.830078
788654,G,1.647949,-0.366211,0.000000
788659,A,0.996460,-0.074219,-0.016235
788664,G,1.831055,-0.366211,0.183105
788669,A,0.996826,-0.074097,-0.018066
788674,G,1.953125,-0.427246,0.244141
788679,A,0.995483,-0.074097,-0.018188
788684,G,1.953125,-0.366211,0.183105
788689,A,0.995972,-0.074707,-0.019409
788694,M,-10.827637,38.305664,-25.622559
788698,G,1.892090,-0.427246,0.122070
788703,A,0.996704,-0.074463,-0.016846
788708,G,1.647949,-0.366211,0.244141
788713,A,0.996582,-0.073486,-0.019775
788718,G,1.770020,-0.305176,0.305176
788723,A,0.996216,-0.074097,-0.016846
