Millis,Sensor,X,Y,Z
653498,A,0.997192,-0.074341,-0.020386
653503,M,-9.387207,36.926270,-25.817871
653507,G,1.770020,-0.427246,0.244141
653512,A,0.996094,-0.074463,-0.018188
653517,G,1.586914,-0.305176,0.183105
653522,A,0.996460,-0.074219,-0.014526
653527,G,1.953125,-0.549316,0.122070
653532,A,0.997070,-0.073853,-0.019287
653537,G,1.831055,-0.427246,0.183105
653542,A,0.996948,-0.074707,-0.018555
653547,G,1.892090,-0.305176,0.122070
653552,A,0.995972,-0.074219,-0.019287
653557,M,-10.083008,37.158203,-26.867676
653562,G,1.770020,-0.488281,0.183105
653566,A,0.996582,-0.073730,-0.022827
653571,G,1.708984,-0.427246,0.183105
653576,A,0.996582,-0.075439,-0.011597
653581,G,1.647949,-0.427246,0.244141
653586,A,0.996338,-0.074219,-0.021851
653591,G,1.892090,-0.488281,0.183105
653596,A,0.996704,-0.074341,-0.016357
653601,G,1.953125,-0.488281,0.305176
653606,A,0.997192,-0.074707,-0.015991
653611,M,-9.558105,36.853027,-26.525879
653615,G,2.014160,-0.488281,0.183105
653620,A,0.997803,-0.074707,-0.014160
653625,G,1.831055,-0.427246,0.244141
653630,A,0.997437,-0.075317,-0.019897
653635,G,2.014160,-0.366211,0.305176
653640,A,0.996826,-0.074463,-0.015747
653645,G,1.831055,-0.366211,0.244141
653650,A,0.996948,-0.074219,-0.018555
653655,M,-9.716797,37.402344,-26.977539
653659,G,1.770020,-0.366211,0.244141
653664,A,0.995850,-0.074829,-0.016113
653669,G,1.770020,-0.366211,0.244141
653674,A,0.995850,-0.074829,-0.017090
653679,G,1.892090,-0.366211,0.183105
653684,A,0.997314,-0.073975,-0.018188
653689,G,1.770020,-0.366211,0.244141
653694,A,0.996582,-0.073975,-0.018311
653699,G,1.892090,-0.366211,0.122070
653704,A,0.996338,-0.075317,-0.015381
653709,M,-8.569336,36.450195,-26.586914
653713,G,1.831055,-0.427246,0.244141
653718,A,0.996460,-0.075195,-0.018311
653723,G,1.708984,-0.366211,0.244141
653728,A,0.996094,-0.075073,-0.016724
653733,G,1.892090,-0.366211,0.183105
653738,A,0.996704,-0.074463,-0.018677
