Millis,Sensor,X,Y,Z
1120405,G,1.708984,-0.610352,0.183105
1120410,A,0.997803,-0.072266,-0.019287
1120415,G,1.770020,-0.549316,0.244141
1120420,A,0.996948,-0.073730,-0.019409
1120425,G,1.892090,-0.549316,0.122070
1120430,A,0.995361,-0.076416,-0.019897
1120435,G,2.014160,-0.427246,0.244141
1120440,A,0.996460,-0.075684,-0.018921
1120445,M,-8.459473,35.449219,-27.636719
1120449,G,1.647949,-0.488281,0.244141
1120454,A,0.995239,-0.074829,-0.020996
1120459,G,1.586914,-0.488281,0.122070
1120464,A,0.996338,-0.073853,-0.020508
1120469,G,1.770020,-0.488281,0.061035
1120474,A,0.996704,-0.072998,-0.022461
1120479,G,1.708984,-0.366211,0.122070
1120484,A,0.996582,-0.074585,-0.014893
1120489,G,1.770020,-0.549316,0.122070
1120494,A,0.996338,-0.074707,-0.020996
1120499,M,-8.520508,34.851074,-26.794434
1120504,G,1.647949,-0.366211,0.183105
1120508,A,0.996826,-0.074097,-0.021606
1120513,G,1.708984,-0.305176,0.244141
1120518,A,0.996826,-0.073486,-0.023926
1120523,G,1.953125,-0.305176,0.244141
1120528,A,0.997314,-0.071899,-0.019653
1120533,G,1.708984,-0.488281,0.122070
1120538,A,0.996094,-0.073242,-0.021118
1120543,M,-8.691406,35.595703,-28.198242
1120548,G,1.525879,-0.366211,0.122070
1120552,A,0.994507,-0.076050,-0.016724
1120557,G,1.464844,-0.183105,0.000000
1120562,A,0.995728,-0.075684,-0.020142
1120567,G,1.770020,-0.427246,0.183105
1120572,A,0.996826,-0.073975,-0.020264
1120577,G,1.831055,-0.549316,0.183105
1120582,A,0.995972,-0.073242,-0.023437
1120587,G,1.770020,-0.427246,0.183105
1120592,A,0.996582,-0.072021,-0.020142
1120597,M,-8.459473,34.814453,-27.124023
1120601,G,1.831055,-0.427246,0.122070
1120606,A,0.996216,-0.075439,-0.017456
1120611,G,2.014160,-0.488281,0.305176
1120616,A,0.995239,-0.076172,-0.018188
1120621,G,1.708984,-0.488281,0.305176
1120626,A,0.996216,-0.075317,-0.019531
1120631,G,1.525879,-0.488281,0.183105
1120636,A,0.997192,-0.072998,-0.021973
1120641,G,1.831055,-0.488281,0.244141
1120646,A,0.998291,-0.072510,-0.020020
1120651,M,-8.801270,36.413574,-28.515625
1120655,G,1.892090,-0.305176,0.183105
1120660,A,0.996826,-0.072876,-0.019043
1120665,G,2.014160,-0.244141,0.244141
1120670,A,0.994751,-0.075928,-0.020752
1120675,G,1.892090,-0.427246,0.183105
1120680,A,0.995728,-0.076172,-0.019897
1120685,G,2.075195,-0.427246,0.244141
1120690,A,0.995972,-0.074097,-0.021729
1120695,M,-9.094238,35.729980,-27.233887
1120699,G,1.953125,-0.427246,0.122070
1120704,A,0.996704,-0.073364,-0.019043
1120709,G,1.831055,-0.305176,0.122070
1120714,A,0.996338,-0.074829,-0.019897
1120719,G,1.770020,-0.366211,0.183105
1120724,A,0.995850,-0.074951,-0.016113
1120729,G,1.708984,-0.305176,0.183105
1120734,A,0.995239,-0.075317,-0.019897
1120739,G,1.770020,-0.427246,0.183105
1120744,A,0.996094,-0.075317,-0.019043
1120749,M,-9.069824,36.035156,-28.161621
1120753,G,1.708984,-0.427246,0.244141
1120758,A,0.997070,-0.072388,-0.022705
1120763,G,1.708984,-0.549316,0.244141
1120768,A,0.996826,-0.072632,-0.018311
1120773,G,1.892090,-0.488281,0.183105
1120778,A,0.996826,-0.073730,-0.020996
1120783,G,1.892090,-0.488281,0.244141
1120788,A,0.995483,-0.075073,-0.018311
1120793,G,1.892090,-0.488281,0.183105
1120798,A,0.996460,-0.075073,-0.020386
1120803,M,-8.520508,34.716797,-26.977539
1120807,G,1.403809,-0.427246,0.122070
1120812,A,0.997192,-0.073120,-0.021484
