Millis,Sensor,X,Y,Z
254858,G,1.770020,-0.427246,0.122070
254863,A,0.998535,-0.074341,-0.026001
254868,G,1.831055,-0.488281,0.183105
254873,A,0.996582,-0.074829,-0.020264
254878,M,-8.972168,37.268066,-27.893066
254882,G,1.953125,-0.488281,0.305176
254887,A,0.996216,-0.075806,-0.012329
254892,G,1.647949,-0.488281,0.244141
254897,A,0.996826,-0.074951,-0.025757
254902,G,1.831055,-0.610352,0.183105
254907,A,0.996582,-0.074707,-0.020630
254912,G,1.831055,-0.366211,0.244141
254917,A,0.996216,-0.075806,-0.005737
254922,G,1.586914,-0.244141,0.183105
254927,A,0.998657,-0.075439,-0.017212
254932,M,-9.741211,37.524414,-26.965332
254936,G,1.525879,-0.488281,0.122070
254941,A,0.996216,-0.074219,-0.022827
254946,G,1.770020,-0.488281,0.122070
254951,A,0.997559,-0.075317,-0.010376
254956,G,1.892090,-0.427246,0.061035
254961,A,0.997314,-0.075195,-0.007813
254966,G,1.831055,-0.366211,0.244141
254971,A,0.995728,-0.074951,-0.022339
254976,G,1.892090,-0.549316,0.366211
254981,A,0.998657,-0.074097,-0.021729
254986,M,-9.753418,37.158203,-27.551270
254990,G,1.525879,-0.427246,0.244141
254995,A,0.996216,-0.076050,-0.007080
255000,G,1.708984,-0.488281,0.183105
255005,A,0.996948,-0.074341,-0.013794
255010,G,1.770020,-0.549316,0.305176
255015,A,0.997314,-0.074829,-0.024292
255020,G,1.953125,-0.488281,0.122070
255025,A,0.997314,-0.075562,-0.018677
255030,M,-8.972168,37.854004,-26.062012
255034,G,1.831055,-0.366211,0.244141
255039,A,0.997314,-0.074463,-0.006958
255044,G,1.586914,-0.366211,0.244141
255049,A,0.997192,-0.075562,-0.019165
255054,G,1.708984,-0.366211,0.244141
255059,A,0.997192,-0.075195,-0.020874
255064,G,1.892090,-0.244141,0.183105
255069,A,0.997070,-0.074219,-0.017090
255074,G,1.770020,-0.244141,0.183105
255079,A,0.996826,-0.074951,-0.012329
255084,M,-8.349609,37.902832,-27.062988
255088,G,1.647949,-0.488281,0.122070
255093,A,0.997070,-0.075684,-0.020996
255098,G,1.831055,-0.549316,0.183105
255103,A,0.996582,-0.075073,-0.018921
255108,G,1.770020,-0.366211,0.183105
255113,A,0.996216,-0.075195,-0.017700
255118,G,1.647949,-0.366211,0.122070
255123,A,0.997803,-0.074707,-0.015991
255128,G,1.770020,-0.427246,0.244141
255133,A,0.996338,-0.075806,-0.020508
255138,M,-8.776855,37.011719,-27.014160
255142,G,1.586914,-0.488281,0.000000
255147,A,0.997070,-0.075684,-0.016968
255152,G,1.831055,-0.488281,0.305176
255157,A,0.997070,-0.074219,-0.010986
255162,G,2.075195,-0.366211,0.244141
255167,A,0.996460,-0.075439,-0.019775
255172,G,1.831055,-0.427246,0.183105
255177,A,0.996826,-0.075562,-0.017090
255182,M,-8.581543,37.341309,-28.759766
255187,G,1.831055,-0.549316,0.122070
255191,A,0.997437,-0.074707,-0.012329
255197,G,1.586914,-0.427246,0.061035
255202,A,0.996704,-0.074097,-0.015747
255207,G,1.831055,-0.488281,0.122070
255212,A,0.996338,-0.074585,-0.019409
255217,G,1.831055,-0.427246,0.305176
255222,A,0.996704,-0.075317,-0.015259
255227,G,1.831055,-0.366211,0.183105
255232,A,0.996704,-0.074463,-0.017822
255237,M,-9.094238,37.341309,-31.433105
255241,G,1.770020,-0.366211,0.122070
255246,A,0.996826,-0.074463,-0.016846
255251,G,1.892090,-0.488281,0.244141
255256,A,0.997314,-0.075195,-0.018921
255261,G,1.831055,-0.488281,0.183105
255266,A,0.997070,-0.074463,-0.015869
255271,G,1.892090,-0.305176,0.183105
255276,A,0.997192,-0.075195,-0.013794
255281,M,-11.206055,37.634277,-30.578613
255285,G,1.647949,-0.427246,0.244141
255290,A,0.995972,-0.075317,-0.017212
255295,G,1.708984,-0.366211,0.183105
255300,A,0.996582,-0.074951,-0.017822
255305,G,1.770020,-0.305176,0.305176
255310,A,0.997070,-0.075317,-0.014526
255315,G,1.953125,-0.427246,0.366211
255320,A,0.997192,-0.075562,-0.014893
255325,G,1.953125,-0.488281,0.244141
255330,A,0.996826,-0.075562,-0.017456
255335,M,-12.072754,37.817383,-28.466797
255339,G,1.770020,-0.488281,0.122070
255344,A,0.996216,-0.074585,-0.016846
255349,G,1.586914,-0.427246,0.061035
255354,A,0.996582,-0.074829,-0.014771
255359,G,1.770020,-0.366211,0.244141
255364,A,0.997070,-0.075806,-0.016602
255369,G,1.525879,-0.427246,0.183105
255374,A,0.997681,-0.075439,-0.017334
255379,G,1.770020,-0.488281,0.183105
255384,A,0.996582,-0.075195,-0.017944
